Unix_Timestamp,TimeObject,Open,High,Low,Close,Volume_(BTC),%
1585512420,2020-03-29 20:07:00,5932.05,5932.05,5926.0,5926.0,0.36146117,-0.1019883514130896
1585512480,2020-03-29 20:08:00,5918.0,5926.48,5916.04,5923.73,1.00233399,0.09682325109833666
1585512540,2020-03-29 20:09:00,5927.92,5931.28,5920.95,5920.96,1.65264347,-0.11741049136965473
1585512600,2020-03-29 20:10:00,5925.79,5925.85,5908.81,5914.51,1.6213859,-0.19035436625327162
1585512660,2020-03-29 20:11:00,5914.48,5921.8,5909.31,5909.31,1.21606635,-0.08741258741257328
1585512720,2020-03-29 20:12:00,5919.14,5924.78,5909.48,5924.78,14.16632556,0.09528411221899495
1585512780,2020-03-29 20:13:00,5924.18,5924.18,5910.11,5919.06,2.81194453,-0.0864254631020646
1585512840,2020-03-29 20:14:00,5921.24,5932.05,5914.37,5932.05,8.24404614,0.1825631117806473
1585512900,2020-03-29 20:15:00,5932.05,5932.05,5923.83,5927.4,2.70013146,-0.07838774116874513
1585512960,2020-03-29 20:16:00,5929.58,5929.58,5911.51,5918.48,0.51169211,-0.18719706960695975
1585513020,2020-03-29 20:17:00,5917.32,5917.32,5904.8,5906.78,11.11064151,-0.17812117647854037
1585513080,2020-03-29 20:18:00,5908.62,5910.84,5900.0,5900.0,13.07293574,-0.14588854927207862
1585513140,2020-03-29 20:19:00,5903.18,5903.21,5878.96,5893.97,32.90540741,-0.15601760407102674
1585513200,2020-03-29 20:20:00,5895.9,5915.51,5886.06,5915.41,11.9586937,0.330907919062403
1585513260,2020-03-29 20:21:00,5909.15,5909.83,5895.32,5908.45,8.21193524,-0.01184603538579691
1585513320,2020-03-29 20:22:00,5907.45,5907.45,5895.53,5895.53,0.40551429,-0.20177910942961977
1585513380,2020-03-29 20:23:00,5903.45,5905.97,5897.68,5905.96,4.50469687,0.04251751094699232
1585513440,2020-03-29 20:24:00,5895.69,5895.71,5878.98,5884.93,7.33040641,-0.18250620368437467
1585513500,2020-03-29 20:25:00,5887.98,5888.04,5885.31,5887.67,11.34759423,-0.005264963535872926
1585513560,2020-03-29 20:26:00,5881.52,5887.89,5869.0,5869.0,18.31630222,-0.21287014241217297
1585513620,2020-03-29 20:27:00,5878.1,5897.77,5869.35,5896.65,10.61573918,0.31557816301184516
1585513680,2020-03-29 20:28:00,5895.09,5895.09,5880.28,5889.05,2.61141501,-0.10245814737349156
1585513740,2020-03-29 20:29:00,5895.29,5895.29,5884.43,5884.43,1.5080808,-0.18421485626660727
1585513800,2020-03-29 20:30:00,5888.25,5892.34,5875.86,5885.39,4.04210026,-0.04857130726446181
1585513860,2020-03-29 20:31:00,5878.12,5889.18,5878.12,5889.18,14.25566171,0.18815539662341701
1585513920,2020-03-29 20:32:00,5889.18,5889.2,5882.37,5882.83,3.40222162,-0.10782485846926675
1585513980,2020-03-29 20:33:00,5888.75,5906.02,5888.75,5906.02,10.65529124,0.2932710677138686
1585514040,2020-03-29 20:34:00,5896.38,5912.98,5894.21,5912.98,17.78893415,0.28152866674127947
1585514100,2020-03-29 20:35:00,5909.74,5909.88,5909.74,5909.88,1.34788815,0.0023689705469331548
1585514160,2020-03-29 20:36:00,5909.91,5909.98,5901.12,5902.13,3.08079696,-0.13164329067616504
1585514220,2020-03-29 20:37:00,5902.67,5915.72,5902.67,5905.76,7.18985946,0.052349191128762844
1585514280,2020-03-29 20:38:00,5912.98,5924.77,5906.73,5916.01,18.63413107,0.051243197169627754
1585514340,2020-03-29 20:39:00,5916.01,5937.22,5915.09,5937.22,19.33787107,0.3585186637615561
1585514400,2020-03-29 20:40:00,5937.22,5961.35,5936.95,5947.11,48.83018581,0.16657627643913175
1585514460,2020-03-29 20:41:00,5950.0,5957.44,5940.19,5940.19,7.02831367,-0.16487394957983864
1585514520,2020-03-29 20:42:00,5949.19,5949.19,5936.93,5936.93,2.06703959,-0.20607847454862444
1585514580,2020-03-29 20:43:00,5936.93,5942.04,5929.73,5940.92,11.79751917,0.06720645181937099
1585514640,2020-03-29 20:44:00,5930.89,5941.81,5929.93,5931.86,0.3038492,0.016355049579394407
1585514700,2020-03-29 20:45:00,5940.91,5940.92,5928.7,5928.7,1.24959088,-0.205524069544902
